MP.Name,Date,Event,Type,Numbers,Venue.s.
"Kemp, Fraser",5/15/06,Mind Week Reasearch Results,Rec,120,Mmbrs Dng Rm
"Brown, Lyn",10/16/06,Mind's Building Solution Campaign,Rec,150,Mmbrs Dng Rm
"Balls, Ed",10/15/07,Ministerial Dinner,Dinn,13,Dng Rm C
"Winterton, Rosie",2/27/08,Ministerial Reception/Parking Working Group,Rec,15,Dng Rm C
"Lancaster, Mark",10/16/07,MK Bus Leaders,Dinn,35,Dng Rm A
"Starkey, Phyllis",10/23/07,MK Reception,Rec,70,Dng Rm A
"Vaz, Keith",3/5/05,MKC Trust,Dinn,150,"Mmbrs Dng Rm, Tce Pvln"
"Follett, Hon Barbara",6/29/09,MLA Summer Reception,Tea,50,Dng Rm B
"Healey, John",2/28/07,MLA Yorkshire Reception,Rec,110,Mmbrs Dng Rm
"Bell, Stuart",5/3/06,MLS2,Dinn,9,Dng Rm D
"Cormack, Sir Patrick",10/11/07,Mmbrs Reception,Rec,60,Mmbrs Dng Rm
"Beith, Alan J",3/22/06,Mmbrs Standing Committee on Justice Nowegian Parl,Dinn,17,Astor Suite
"Todd, Mark",11/1/06,MND Association,Rec,50,Strngrs Dng Rm
"Curry, David",6/6/06,Mobile Communications Issues,Tea,20,Dng Rm D
"Jowell, Rt HonTessa",7/21/05,Mobo,Rec,100,"Dng Rm C, Strngrs Dng Rm"
"Lancaster, Mark",12/19/05,MOD,Lnch,47,Dng Rm A
"Beresford, Paul",12/2/05,Mole Valley,Dinn,44,Dng Rm A
"Beresford, Paul",7/28/04,Mole Valley Conservative Association,Dinn,130,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Beresford, Paul",5/9/08,Mole Valley Conservative Association,Dinn,134,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Beresford, Paul",2/1/05,Mole Valley Conservatives,Dinn,43,Dng Rm A
"Beresford, Paul",12/13/08,Mole Valley GP's Dinner,Dinn,36,Dng Rm A
"Selous, Andrew",4/24/08,Molnlycke Health Care,Lnch,36,Dng Rm A
"Paterson, Owen",2/8/06,Mongomery Canal Conservation Strategy,Rec,50,Dng Rm A
"Thornberry, Emily",10/30/08,"More Women, More Power Campaign",Rec,50,Dng Rm A
"David, Wayne",1/31/06,Morgan Allen Moore,Dinn,13,Dng Rm C
"Follett, Hon Barbara",11/9/05,Morgan Allen Moore,Dinn,12,Dng Rm D
"Mann, John",11/29/04,Morgan Allen Moore,Rec,50,Dng Rm A
"Turner, Desmond",10/26/05,Morgan Allen Moore,Rec,40,Dng Rm A
"Turner, Desmond",12/13/05,Morgan Allen Moore,Rec,25,Dng Rm B
"Stuart, Gisela",12/4/07,Moscow School of Political Studies,Dinn,12,Astor Suite
"Taylor, Ian",3/2/06,Moss Annual Event,Dinn,30,Club Rm
"Arbuthnot, James",10/26/06,Moth Club,Dinn,96,"Church. Dng Rm, Tce Pvln"
"Opik, Lembit",2/2/05,Motor Cycle Industry Association,Rec,55,Dng Rm B
"Goodwill, Robert",10/28/08,Motor Cycle Industry Lunch,Lnch,12,Astor Suite
"Opik, Lembit",3/13/08,Motor Neuron Disease Assoc,Dinn,78,"Church. Dng Rm, Tce Pvln"
"Opik, Lembit",5/17/04,Motorcycle Industry Association,Lnch,14,Dng Rm C
"Grogan, John",11/28/08,Mouchel Dinner,Lnch,20,Dng Rm B
"Johnson, Melanie",10/30/04,Mount Grace Old Scholars,Dinn,123,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Cameron, David",11/11/08,Mouth Cancer awareness week,Rec,80,Dng Rm A
"Cameron, David",11/13/06,Mouth Cancer Week,Rec,80,Dng Rm A
"Gardiner, Barry",1/19/07,Move It Celebration Lunch,Lnch,57,"Church. Dng Rm, Tce Pvln"
"Eagle, Maria",1/9/06,Moving Young Minds,Rec,150,Tce Pvln
"Hill, Keith",10/19/06,Mozart Celebrations,Rec,25,Dng Rm C
"Jack, Michael",2/7/07,MP Briefing Dinner,Dinn,14,Club Rm
"Berry, Roger",3/21/07,MP Dialogue Scheme,Rec,25,Astor Suite
"Barrett, John",4/1/09,MP Dialogue Scheme Reception,Rec,115,Mmbrs Dng Rm
"Ellman, Louise",7/13/09,MP Dinner,Dinn,13,Dng Rm D
"Kilfoyle, Peter",6/1/09,MP Dinner,Dinn,8,Dng Rm C
"Smith, Robert",1/14/09,MP Dinner Briefing,Dinn,13,Astor Suite
"Dean, Janet",6/5/07,MP Dinner Debate,Dinn,23,Club Rm
"Olner, Bill",3/18/09,MP Guide on International Parental Child Abduction,Rec,150,Tce Pvln
"Levitt, Tom",6/26/07,MP Heros Tea Party,Rec,140,Mmbrs Dng Rm
"Levitt, Tom",6/24/08,MP Heros Tea Party,Rec,146,Mmbrs Dng Rm
"Levitt, Tom",6/23/09,MP Heros tea party,Tea,150,Mmbrs Dng Rm
"Marsden, Gordon",4/23/08,MP Skills Competition,Rec,175,Tce Pvln
"Blears, Hazel",12/9/04,Mps Christmas Reception,Rec,80,Dng Rm A
"Lloyd, Tony",6/2/09,MPs meeting with GMPA & GMP,Rec,30,Astor Suite
"Armstrong, Hilary",11/29/07,MRDF Reception,Tea,60,Dng Rm A
"Swayne, Desmond",6/29/05,Ms O'Keefe,Dinn,41,Dng Rm A
"Gibson, Ian",11/7/07,MS Society Dinner,Dinn,27,Club Rm
"Gibson, Ian",4/23/08,Ms Society Reception,Rec,120,Tce Pvln
"Winterton, Nicholas",7/14/05,Msb,Rec,130,Tce Pvln
"Winterton, Nicholas",5/18/06,MSB Inspiring People,Rec,100,Tce Pvln
"Winterton, Nicholas",7/1/04,MSB Ltd,Rec,150,Church. Dng Rm
"Gove, Michael",7/4/09,MSG Group 21 Year Celebration,Dinn,120,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Keen, Alan",4/30/09,MSS at the House of Commons,Rec,25,Dng Rm B
"O'Brien, Stephen",2/18/08,MTA Dinner,Dinn,12,Dng Rm D
"O'Brien, Stephen",11/12/08,MTA House of Commons Reception,Rec,120,Mmbrs Dng Rm
"Burt, Lorely",7/7/08,MTA Liberal Democrat Dinner,Dinn,8,Dng Rm D
"Miliband, David",5/25/04,MTV / Adobe,Rec,150,Tce Pvln
"Cormack, Sir Patrick",6/18/04,MUA Property Services Ltd,Rec,109,Tce Pvln
"Hurd, Nick",5/13/09,Musgrave Retail Partners Parliamentary Lunch,Lnch,38,Dng Rm A
"Watson, Tom",4/27/04,Music West Midlands,Rec,45,Dng Rm B
"Goodman, Paul",3/28/07,Muslim Council,Rec,95,Strngrs Dng Rm
"Love, Andrew",3/1/07,MUTUO,Dinn,79,Church. Dng Rm
"Thomas, Gareth R",5/4/04,MUTUO,Rec,70,Strngrs Dng Rm
"Opik, Lembit",5/14/08,Myspine.org Launch,Rec,45,Dng Rm B
"Bottomley, Peter J",3/22/07,N A G C,Rec,100,Tce Pvln
"Gale, Roger",7/25/07,N C A Reception,Rec,50,Dng Rm A
"Bruce, Malcolm",10/26/04,N E A,Lnch,13,Dng Rm C
"Gilroy, Linda",3/27/07,N E A,Dinn,10,Dng Rm C
"Love, Andrew",3/8/05,N E A,Dinn,11,Dng Rm C
"Simpson, Alan",2/23/05,N E A,Dinn,12,Dng Rm D
"Stewart, Ian",3/2/05,N E A,Dinn,8,Dng Rm C
"Sheerman, Barry",11/16/05,N F I,Tea,60,Strngrs Dng Rm
"Stoate, Howard",1/12/05,N F I,Bfast,50,Dng Rm A
"George, Andrew",6/23/05,N F U,Rec,120,Tce Pvln
"Lidington, David",7/20/04,N T D A,Rec,50,Dng Rm A
"Grogan, John",2/24/05,N U S,Rec,120,Tce Pvln
"Gray, James",10/19/05,N W B A,Dinn,22,Dng Rm B
"Ellman, Louise",2/7/06,N W D A,Rec,100,Tce Pvln
"Fitzsimons, Lorna",7/21/04,N W D A,Rec,12,Dng Rm A
"McDonnell, Alasdair",6/14/06,N1 GP's Dinner,Dinn,14,Dng Rm D
"Battle, John",6/5/07,N8 Parliamentary Event,Rec,100,Mmbrs Dng Rm
"Blackman, Elizabeth",3/9/06,NAAR UK Parliamentary Reception,Rec,150,Tce Pvln
"Caborn, Richard",10/10/06,Nabarro Nathanson,Dinn,29,Club Rm
"Coaker, Vernon",6/28/08,Nabt Dinner,Dinn,140,"Mmbrs Dng Rm, Tce Pvln"
"Levitt, Tom",5/11/04,NACVS,Rec,100,Tce Pvln
"Davey, Edward",3/15/07,NAHT,Dinn,54,Mmbrs Dng Rm
"Lammy, David",9/12/09,NAHT,Dinn,159,"Mmbrs Dng Rm, Tce Pvln"
"Pelling, Andrew",6/9/06,NAHT,Dinn,163,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Timms, Stephen",9/23/05,NAHT,Dinn,114,"Mmbrs Dng Rm, Tce Pvln"
"McDonagh, Siobhan",6/30/07,NAHT (London) Dinner,Dinn,145,"Mmbrs Dng Rm, Tce Pvln"
"Seabeck, Alison",5/23/07,NALC Delivering for Local Communities,Rec,80,Strngrs Dng Rm
"Drew, David",5/9/06,NALC Parlamentary Reception,Rec,100,Mmbrs Dng Rm
"Curry, David",7/13/09,NALL Stakeholder Event,Rec,80,Church. Dng Rm
"Atkinson, Peter",2/9/09,Name that steak,Rec,50,Dng Rm A
"Oaten, Mark",10/9/07,Naomi House Reception,Rec,177,Tce Pvln
"Sawford, Phil",1/25/05,Nappi Alliance,Rec,100,Tce Pvln
"Baker, Norman",4/26/06,Nappy Alliance,Lnch,14,Dng Rm C
"Moffatt, Laura",4/18/07,Nappy Alliance,Dinn,10,Dng Rm C
"Humble, Joan",7/5/06,Nappy Study,Rec,25,Dng Rm C
"May, Theresa",11/28/07,Nappy Study Reception,Rec,15,Dng Rm C
"Murrison, Andrew",7/24/07,NARPO (Wiltshire Branch),Lnch,55,Dng Rm A
"Luff, Peter",2/4/08,Nasscom Parliamentary Dinner,Dinn,18,Astor Suite
"Chaytor, David",11/3/04,NATFHE,Rec,150,Tce Pvln
"Hopkins, Kelvin",11/3/05,Natfhe,Rec,150,Tce Pvln
"Gray, James",6/11/07,National & International Security Policy Group,Dinn,11,Dng Rm B
"Stewart, Ian",5/14/08,National Allergy Straregy Group Parlimentary Reception,Rec,65,Dng Rm A
"Olner, Bill",12/1/05,National Assoc of Funeral Directors,Lnch,18,Dng Rm B
"McDonagh, Siobhan",7/9/04,National Assoc of Headteachers,Dinn,169,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Gale, Roger",2/14/06,National Association of Cypriots,Lnch,14,Dng Rm C
"Portillo, Michael",6/24/04,National Association of Estate Agents,Rec,110,Tce Pvln
"Olner, Bill",12/8/04,National Association of Funeral Directors,Lnch,14,Dng Rm D
"Betts, Clive",5/6/08,National Association of Local Councils,Rec,60,Strngrs Dng Rm
"Quinn, Lawrie",5/12/04,National Association Of Local Councils,Rec,100,Mmbrs Dng Rm
"Taylor, Teddy",4/2/05,National Association of Shopfitters,Dinn,83,"Church. Dng Rm, Tce Pvln"
"Blackman, Elizabeth",5/18/04,National Autistic Society,Rec,100,Tce Pvln
"Thornberry, Emily",2/5/08,National Autistic Society,Rec,150,Tce Pvln
"Healey, John",11/9/04,National Benefits Project,Meeting,150,Tce Pvln
"Healey, John",11/9/04,National Benefits Project,Rec,150,Tce Pvln
"Vaz, Keith",11/14/07,National Black Police Association,Rec,80,Dng Rm A
"Hammond, Stephen",3/9/06,National Bus Award,Rec,100,Tce Pvln
"Love, Andrew",6/12/08,National Bus: Awards White Paper Launch,Rec,100,Mmbrs Dng Rm
"Gale, Roger",6/29/06,National Care Association,Rec,60,Dng Rm A
"Loughton, Tim",11/14/07,National Citizen Service Away Day,Dinn,10,Dng Rm C
"Snelgrove, Anne",4/29/09,National Confederation of Parent Teaching,Rec,160,Tce Pvln
"Hamilton MP, Fabian",3/12/08,National Council for Palliative Care,Rec,26,Dng Rm D
"Spelman, Caroline",5/5/04,National Council of Women G.B.,Tea,104,Tce Pvln
"Sheerman, Barry",11/29/05,National Day Nurseries Association,Rec,50,Strngrs Dng Rm
"Bruce, Malcolm",10/14/04,National Deaf Childrens Society,Rec,18,Dng Rm D
"Love, Andrew",5/30/08,National Doctors Awards Dinner,Dinn,95,"Mmbrs Dng Rm, Strngrs Dng Rm"
"Kidney, David",6/1/09,National EBP Network,Rec,170,Tce Pvln
"Ainsworth, Peter",2/8/06,National Energy Action,Dinn,9,Dng Rm C
"Bruce, Malcolm",5/23/07,National Energy Action,Dinn,10,Dng Rm C
"Hodgson, Sharon",5/16/07,National Energy Action,Dinn,6,Dng Rm C
"Simpson, Alan",7/13/05,National Energy Action,Rec,30,Dng Rm B
"Simpson, Alan",2/15/06,National Energy Action,Dinn,13,Dng Rm C
"Stunell, Andrew",2/7/06,National Energy Action,Dinn,7,Dng Rm C
"Wright, Tony",3/14/06,National Energy Action,Lnch,10,Dng Rm C
"O'Neill, Martin",10/27/04,National Energy Action Lunch,Lnch,13,Dng Rm C
"Bayley, Hugh",5/21/08,National Ethical Investment Week Reception,Rec,80,Dng Rm A
"Follett, Hon Barbara",6/8/05,National Extension College,Dinn,20,Dng Rm B
"Mactaggart, Fiona",10/8/08,National Extension College,Rec,100,Tce Pvln
"Loughton, Tim",10/19/06,National Family & Parenting Inst,Rec,160,Tce Pvln
"Shaw, Jonathan",10/19/05,National Family & Parenting Inst.,Rec,150,Tce Pvln
"Smith, Angela",5/24/05,National Farmers Union,Rec,45,Dng Rm B
"Betts, Clive",2/6/08,National Federation of Almos Parl Reception,Tea,200,Mmbrs Dng Rm
"Waterson, Nigel",3/1/05,National Federation of Builders,Lnch,15,Dng Rm C
"Ladyman, Stephen",3/16/09,National Federation of Retail Newsagents,Rec,150,Mmbrs Dng Rm
"Tipping, Paddy",6/12/06,National Food Safety Week,Rec,100,Strngrs Dng Rm
"McCarthy-Fry, Sarah",10/19/05,National Gobernor's Council,Rec,68,Dng Rm A
"Salter, Martin",4/18/07,National Grid,Tea,90,Strngrs Dng Rm
"Luff, Peter",6/19/07,National Grid Dinner,Dinn,11,Dng Rm C
"Letwin, Oliver",7/16/08,National Grid Energy Roundtable,Dinn,11,Dng Rm D
"Webb, Steve",1/28/08,National Grid Planning Dinner,Dinn,12,Astor Suite
"Hamilton MP, Fabian",11/21/07,National Group on Homeworking Report,Rec,45,Dng Rm B
"Wiggin, Bill",1/7/08,National Hereford Awards,Dinn,50,Dng Rm A
"Wright, David",7/5/04,National Housing Association,Tea,75,Dng Rm A
"Seabeck, Alison",2/28/06,National Housing Federation,Dinn,18,Astor Suite
"Brown, Lyn",11/12/08,National Literacy Trust Reception,Rec,80,Strngrs Dng Rm
"Sutcliffe, Gerry",11/22/06,National Museum of Photography,Tea,25,Dng Rm C
"Mitchell, Austin",6/2/09,National Obesity Forum Reception,Rec,85,Strngrs Dng Rm
"Cook, Frank",1/30/06,National Open College Network,Rec,125,Tce Pvln
"Austin, John",10/25/05,National Osteoporosis Society,Rec,50,Tce Pvln
"Austin, John",6/14/06,National Osteoporosis Society,Rec,80,Strngrs Dng Rm
"Drew, David",10/20/04,National Prayer Breakfast,Recept/Lnch,50,State Rm
"Drew, David",10/21/04,National Prayers,Bfast,650,Special Venue
"Dobbin, Jim",6/19/07,National Prayers Breakfast,Bfast,310,Special Venue
"Streeter, Gary",6/24/08,National Prayers Breakfast,Bfast,610,Special Venue
"Webb, Steve",7/12/05,National Prayers Breakfast,Bfast,650,Special Venue
"Baird, Vera",11/12/07,National Pro Bono Week reception,Rec,150,Mmbrs Dng Rm
"Baird, Vera",11/11/08,National Probono Week MP Reception,Rec,170,Mmbrs Dng Rm
"Moran, Margaret",1/31/07,National Salt Awareness Day,Rec,100,Tce Pvln
"Shipley, Debra",1/26/05,National Salt Awareness Day,Rec,110,Tce Pvln
"Creagh, Mary",2/4/09,National Salt Awareness Week,Rec,130,Tce Pvln
"Sheerman, Barry",6/19/09,National School Environmental Week,Lnch,73,Church. Dng Rm
"Lloyd, Tony",6/27/07,National School Environments Week,Rec,80,Dng Rm A
"Follett, Hon Barbara",10/14/08,National Schools Film Week 2008 Reception,Rec,80,Dng Rm A
"Shaw, Jonathan",7/19/05,National Skills Forum,Rec,40,Dng Rm B
"Marsden, Gordon",1/23/08,National Skils Forum,Rec,100,Strngrs Dng Rm
"Cameron, David",5/15/08,National Smile Month Launch,Rec,80,Dng Rm A
"Burrowes, David",3/10/09,National Street Pastors,Rec,80,Dng Rm A
"Hendry, Charles",10/12/05,National Taking Newspapers & Magazines,Rec,60,Dng Rm A
"Smith, John",5/10/06,National Thrombosis Week,Rec,150,Tce Pvln
"Lansley, Andrew",7/5/07,National Transplant Week 2007,Rec,75,Strngrs Dng Rm
"Donohoe, Brian",11/26/08,National Tree Week Launch,Rec,130,Tce Pvln
"Steinberg, Gerry",5/19/04,National Unions of Teachers,Rec,80,Dng Rm A
"Touhig, Don",7/4/05,National Veterans Week,Rec,500,Special Venue
"Blackman, Elizabeth",6/6/07,National Volunteering Week,Rec,50,Dng Rm A
"McFadden, Patrick",7/19/05,National Youth Agency,Rec,80,Dng Rm A
"David, Wayne",10/23/06,National Youth Orchestra of Wales,Rec,30,State Rm
"Hoban, Mark",5/13/09,Nationwide & Citizens Advice,Rec,60,Dng Rm A
"Keeble, Sally",12/14/05,Nationwide Building Society,Rec,150,Tce Pvln
"Keeble, Sally",6/24/09,Nationwide Economic Briefing,Rec,30,Strngrs Dng Rm
"Humble, Joan",1/24/05,Natoional Assoc of Connections Partnership,Dinn,23,Astor Suite
"Caborn, Richard",12/5/06,Natpro,Dinn,18,Club Rm
"Drew, David",5/23/07,Natspec 21st Anniversary,Rec,130,Tce Pvln
"Kidney, David",2/28/07,Natural England,Dinn,10,Club Rm
"Kidney, David",6/11/08,Natural England,Rec,45,Astor Suite
"Smith, Angela",12/3/07,Natural England,Rec,45,Dng Rm B
"Drew, David",11/12/08,Natural England Reception,Rec,100,Tce Pvln
"Smith, Angela",6/9/09,Natural England Summer Reception,Rec,45,Astor Suite
"Maude, Francis",6/9/04,Navartis Pharmaceuticals,Dinn,20,Club Rm
"Ennis, Jeff",2/21/08,Navigant Corparate Event,Rec,60,Dng Rm A
"Burstow, Paul",9/14/06,NBFA Reception,Rec,115,Tce Pvln
"Howarth, Gerald",4/23/07,NBJ United Kingdom Limited,Dinn,25,Dng Rm B
"Armstrong, Hilary",3/11/08,NCH Parliamentary Reception,Rec,150,Tce Pvln
"Buck, Karen",6/20/05,NCHA,Tea,80,Dng Rm A
"Kidney, David",6/14/05,NDNA,Rec,80,Strngrs Dng Rm
"Jack, Michael",3/25/08,NEA,Dinn,11,Astor Suite
"Lazarowicz, Mark",1/28/08,NEA,Dinn,11,Dng Rm C
"Robertson, Laurence",10/20/04,NEA,Lnch,10,Dng Rm C
"Simpson, Alan",11/2/05,NEA,Tea,40,Dng Rm B
"Burt, Alistair",6/17/08,NEBCA CWG,Tea,51,Tce Pvln
"Plaskitt, James",11/16/04,NEBPN TRADING LIMITED,Rec,120,Tce Pvln
"Gidley, Sandra",11/19/08,Needlestick Injury Reception,Rec,35,Dng Rm B
"Garnier, Edward",7/22/04,Neighbourhood Watch Association,Rec,130,Tce Pvln
"Goodwill, Robert",10/15/08,NEPG,Dinn,13,Dng Rm B
"Cousins, Jim",7/9/08,NEPG Parliamentary Briefing Lunch,Lnch,22,Astor Suite
"Kumar, Ashok",11/21/07,NEPIC,Dinn,24,Club Rm
"Kumar, Ashok",11/12/08,NEPIC Parliamentary Dinner,Dinn,27,Club Rm
"Gibson, Ian",11/9/05,Nesta,Rec,200,Mmbrs Dng Rm
"Willis, Phil",6/11/08,Nesta,Rec,80,Dng Rm A
"O'Neill, Martin",11/16/04,Nesta Reception,Rec,150,Tce Pvln
"Sheerman, Barry",12/17/08,Nesta Report,Bfast,20,Dng Rm B
"Howarth, Gerald",3/31/09,Network enabled Capability,Rec,75,Strngrs Dng Rm
"Blackman, Elizabeth",4/27/04,Network Rail,Dinn,20,Astor Suite
"Cummings, John",6/29/04,Network Rail,Dinn,20,Club Rm
"Ellman, Louise",7/14/04,Network Rail,Dinn,15,Club Rm
"Foster, Don",7/4/07,Network Rail,Dinn,15,Astor Suite
"Goodwill, Robert",7/5/06,Network Rail,Dinn,14,Dng Rm C
"Hammond, Philip",5/25/04,Network Rail,Dinn,14,Club Rm
"Ladyman, Stephen",10/15/07,Network Rail,Dinn,19,Dng Rm B
"Quinn, Lawrie",11/30/04,Network Rail,Dinn,20,Club Rm
"Webb, Steve",11/17/04,Network Rail,Dinn,14,Dng Rm C
"Moffatt, Laura",5/21/08,Network Rail & Southern Railway,Lnch,9,Dng Rm B
"Hermon, Lady Sylvia",1/14/09,Networking Event,Rec,50,Dng Rm A
"Hall, Patrick",3/16/05,Networking for Industries,Bfast,40,Dng Rm A
"Marsden, Gordon",3/14/06,Networking for Industries,Rec,50,Dng Rm A
"Taylor, Richard",2/1/05,Networking for Industries,Bfast,35,Dng Rm A
"Drew, David",10/19/04,Networking for Industry,Bfast,45,Dng Rm A
"Gidley, Sandra",7/14/05,Networking for Industry,Bfast,40,"Dng Rm B, Dng Rm C"
"Hall, Patrick",1/31/06,Networking for Industry,Bfast,35,Dng Rm A
"Hall, Patrick",5/23/06,Networking for Industry,Bfast,35,Dng Rm A
"Marsden, Gordon",7/3/06,Networking for Industry,Dinn,24,Club Rm
"Marsden, Gordon",1/31/07,Networking For Industry,Tea,80,Strngrs Dng Rm
"O'Brien, Bill",11/30/04,Networking for Industry,Tea,50,Strngrs Dng Rm
"Sheerman, Barry",12/7/04,Networking for Industry,Rec,50,Strngrs Dng Rm
"Sheerman, Barry",12/16/04,Networking For Industry,Dinn,35,Dng Rm A
"Sheerman, Barry",2/2/05,Networking for Industry,Rec,100,Mmbrs Dng Rm
"Sheerman, Barry",3/16/05,Networking for Industry,Rec,100,Tce Pvln
"Sheerman, Barry",6/7/05,Networking for Industry,Dinn,16,Club Rm
"Sheerman, Barry",6/8/05,Networking for Industry,Dinn,21,Club Rm
"Sheerman, Barry",7/12/05,Networking for Industry,Bfast,80,Tce Pvln
"Sheerman, Barry",7/14/05,Networking For Industry,Rec,50,Strngrs Dng Rm
"Sheerman, Barry",7/19/05,Networking For Industry,Dinn,14,Club Rm
"Sheerman, Barry",10/13/05,Networking for Industry,Rec,100,Tce Pvln
"Sheerman, Barry",11/24/05,Networking for Industry,Bfast,40,Dng Rm A
"Sheerman, Barry",6/22/06,Networking for Industry,Bfast,35,"Dng Rm A, Rm A Bar"
"Stoate, Howard",2/9/05,Networking for Industry,Bfast,75,Tce Pvln
"Stoate, Howard",11/30/05,Networking for Industry,Bfast,40,"Dng Rm B, Dng Rm C"
"Cunningham, Tony",6/3/09,"New Balance ""Made in the UK"" Reception",Rec,100,Strngrs Dng Rm
"Prentice, Gordon",2/4/09,New Brunswick Dept. of Tourism & Parks,Dinn,14,Dng Rm D
"Illsley, Eric",11/3/08,New Coal Technology,Rec,50,Dng Rm A
"Coaker, Vernon",4/25/07,New forms of Content,Dinn,10,Dng Rm C
"Simpson, Keith",1/31/08,New Leadership Culture for Energy Services,Dinn,62,"Church. Dng Rm, Tce Pvln"
"Raynsford, Nick",6/24/08,New Local Goverment Network,Rec,200,Tce Pvln
"Timms, Stephen",5/9/07,New London Orchestra,Dinn,19,Club Rm
"Betts, Clive",11/29/07,New Open Market Homebuy Product,Bfast,25,Dng Rm B
"Stoate, Howard",3/11/08,New Prostrate Cancer Charter for Action,Rec,40,Astor Suite
"Johnson, Diana",3/19/07,New York Study Group Reception,Rec,35,Astor Suite
"Brown, Nick",11/19/04,Newcastle United Football Club,Dinn,14,Dng Rm C
"Cousins, Jim",9/28/06,Newcastle University,Rec,150,Church. Dng Rm
"Brown, Lyn",10/4/07,Newham Chamber of Commerce,Dinn,53,"Pugin Rm, Strngrs Dng Rm"
"Timms, Stephen",9/30/04,Newham Chamber of Commerce,Dinn,54,Dng Rm A
"Timms, Stephen",7/28/05,Newham Chamber of Commerce,Dinn,70,"Mmbrs Dng Rm, Tce Pvln"
"Timms, Stephen",9/21/06,Newham Chamber of Commerce,Dinn,35,"Church. Dng Rm, Dng Rm A"
"Brown, Lyn",2/24/09,Newham Chambers Of Commerce Dinner,Dinn,54,Dng Rm A
"Brown, Lyn",2/5/09,Newham Welcomes The World,Dinn,20,Astor Suite
"Timms, Stephen",6/22/06,Newham Welcomes the World,Dinn,20,Dng Rm B
"Timms, Stephen",4/30/08,Newham Welcomes the World,Dinn,15,Astor Suite
"Timms, Stephen",3/23/06,Newham Welcomes World Community Project,Dinn,14,Dng Rm D
"Spring, Richard",7/20/04,Newmarket Rotary Club,Tea,35,Dng Rm A
"Baird, Vera",6/6/05,Newsday International Challenge,Rec,300,Church. Dng Rm
"Baird, Vera",6/10/05,Newsday International Challenge,Rec,100,Church. Dng Rm
"Baird, Vera",6/26/06,Newsday International Challenge,Rec,110,Church. Dng Rm
"Baird, Vera",6/30/06,Newsday International Challenge,Rec,100,Church. Dng Rm
"Baird, Vera",6/29/07,Newsday International Challenge,Rec,93,Church. Dng Rm
"Baird, Vera",7/2/07,Newsday Scholls Challenge 2007,Rec,45,Dng Rm B
"Benn, Hilary",4/28/09,Newspaper Conference,Lnch,20,Astor Suite
"Burnham, Andrew",7/6/09,Newspaper Conference,Lnch,16,Astor Suite
"Miliband, David",2/9/06,Newspaper Conference,Lnch,17,Astor Suite
"Woolas, Phil",4/23/07,Newspaper Conference,Lnch,20,Astor Suite
"Hill, Keith",11/27/06,Newspaper Conference Annual Lunch,Lnch,84,"Church. Dng Rm, Tce Pvln"
"Hoon, Geoffrey",2/5/09,Newspaper Conference Lunch,Lnch,21,Astor Suite
"Smith, Jacqui",9/6/07,Newspaper Conference Lunch,Lnch,19,Dng Rm B
"Burnham, Andrew",10/22/08,Newspaper Conference Quarterly Lunch,Lnch,16,Astor Suite
"Coffey, Ann",6/23/08,Newspaper Confernce Quarterly Lunch,Lnch,23,Astor Suite
"Balls, Ed",1/15/09,Newspaper Society,Lnch,22,Astor Suite
"Blears, Hazel",3/13/08,Newspaper Society,Lnch,23,Astor Suite
"Cameron, David",7/17/06,Newspaper Society,Lnch,17,Dng Rm B
"Smith, Angela",12/3/07,Newspaper Society,Lnch,80,"Church. Dng Rm, Tce Pvln"
"Pickles, Eric",12/5/07,Next Generation,Rec,30,Astor Suite
"Raynsford, Nick",4/26/06,Next stop Woolwich,Rec,80,Dng Rm A
"Clelland, David",11/30/04,NEXUS,Rec,100,Mmbrs Dng Rm
"Norris, Dan",5/15/09,NFDC,Rec,61,Tce Pvln
"Drew, David",3/1/06,NFI,Rec,40,Tce Pvln
"Hall, Patrick",12/14/05,NFI,Dinn,30,Club Rm
"Hall, Patrick",12/15/05,NFI,Bfast,30,Dng Rm A
"Marsden, Gordon",12/6/05,NFI,Dinn,21,Astor Suite
"Marsden, Gordon",2/14/06,NFI,Rec,35,"Dng Rm B, Dng Rm C"
"Marsden, Gordon",4/19/06,NFI,Rec,140,Tce Pvln
"Marsden, Gordon",6/21/06,NFI,Tea,30,Dng Rm A
"Marsden, Gordon",11/7/06,NFI,Tea,35,"Dng Rm B, Dng Rm C"
"Sheerman, Barry",12/15/04,NFI,Dinn,26,Club Rm
"Sheerman, Barry",2/28/06,NFI,Rec,100,Mmbrs Dng Rm
"Sheerman, Barry",10/10/06,NFI,Tea,45,Dng Rm A
"Stoate, Howard",3/21/07,NFI,Bfast,50,Dng Rm A
"Whitehead, Alan",11/22/05,NFI,Dinn,14,Dng Rm C
"Whitehead, Alan",5/24/06,NFI,Tea,40,Dng Rm A
"Spellar, John",12/6/06,NFRC,Lnch,19,Dng Rm B
"Dunne, Philip",3/23/09,NFSP Report Launch,Rec,100,Strngrs Dng Rm
"Fraser, Christopher",11/29/05,NFU,Rec,40,Dng Rm B
