MP.Name,Date,Event,Type,Numbers,Venue.s.
"Binley, Brian",11/22/05,All Member Group,Dinn,19,Astor Suite
"Bottomley, Peter J",11/5/07,All Member Group,Dinn,19,Dng Rm B
"Carmichael, Alistair",12/16/04,All Member Group,Dinn,13,Dng Rm C
"Dobbin, Jim",7/17/07,All Member Group,Bfast,31,Dng Rm A
"Fisher, Mark",5/25/05,All Member Group,Dinn,15,Astor Suite
"Hall, Mike",6/27/07,All Member Group,Dinn,27,Club Rm
"Hayes, John",7/19/05,All Member Group,Dinn,14,Dng Rm C
"Hayes, John",11/22/05,All Member Group,Dinn,19,Astor Suite
"Hayes, John",2/7/06,All Member Group,Dinn,20,Astor Suite
"Huhne, Chris",11/7/05,All Member Group,Dinn,15,Club Rm
"Huhne, Chris",3/6/06,All Member Group,Dinn,16,Club Rm
"Mackay, Andrew",6/26/07,All Member Group,Dinn,13,Dng Rm C
"Prisk, Mark",6/6/06,All Member Group,Dinn,21,Astor Suite
"Spelman, Caroline",3/28/06,All Member Group,Dinn,10,Dng Rm C
"Binley, Brian",5/2/06,All Mmbrs Group,Dinn,17,Astor Suite
"Hayes, John",6/28/05,All Mmbrs Group,Dinn,6,Dng Rm D
"Hayes, John",3/7/06,All Mmbrs Group,Dinn,10,Astor Suite
"Hayes, John",5/2/06,All Mmbrs Group,Dinn,17,Astor Suite
"Opik, Lembit",3/21/05,All Parliamentary Friends Of Baha'Is,Rec,100,Tce Pvln
"Simpson, Alan",3/6/07,All Part Group for Social Science,Bfast,30,Dng Rm A
"Walley, Joan",10/12/04,All part Parliamentary Lighting Group,Lnch,35,Dng Rm A
"Rooney, Terry",7/3/07,All Part Parliamentary Print Group,Rec,180,Mmbrs Dng Rm
"Cormack, Sir Patrick",2/6/07,All Party Arts & Heritage Group,Rec,100,State Rm
"Henderson, D.J",5/13/08,All Party Athletics Group,Rec,130,Tce Pvln
"Grogan, John",5/8/06,All Party Beer Group,Dinn,15,Club Rm
"Keen, Ann Lloyd",5/23/06,All Party Breakthrough Cancer,Rec,100,Mmbrs Dng Rm
"Hodgson, Sharon",5/13/08,All Party Breast Cancer Summer Reception,Rec,160,Mmbrs Dng Rm
"Burt, Alistair",3/3/09,All Party Build Environment Group,Lnch,15,Astor Suite
"Curtis-Thomas, Claire",6/29/09,All Party Building Services Engineering,Lnch,80,Church. Dng Rm
"Love, Andrew",3/3/08,All Party Building Societies & Financial Group,Lnch,11,Dng Rm C
"Baldry, Tony",10/18/05,All Party China Group,Dinn,24,Astor Suite
"Chapman, Ben",1/14/08,All Party China Group Annual Reception,Rec,120,Tce Pvln
"Ennis, Jeff",1/14/08,All Party China Group Annual Reception,Rec,120,Tce Pvln
"Knight, Greg",9/18/04,All Party Classic Car Group,Rec,100,Tce Pvln
"Challen, Colin",3/5/08,All Party Climate Change Group,Lnch,12,Astor Suite
"Osborne, George",9/8/04,All Party Commercial Radio Group,Rec,80,Mmbrs Dng Rm
"Wyatt, Derek",3/11/09,All Party Communications & Media Group,Bfast,24,Dng Rm B
"Dunne, Philip",1/28/09,All Party Corporate Governance Group,Bfast,38,Dng Rm A
"Dunne, Philip",5/13/09,All Party Corporate Governance Group,Bfast,34,Dng Rm A
"Maude, Francis",12/8/04,All Party Corporate Governance Group,Lnch,24,Astor Suite
"Maude, Francis",1/19/05,All Party Corporate Governance Group,Bfast,35,Dng Rm A
"Maude, Francis",3/16/05,All Party Corporate Governance Group,Bfast,40,Church. Dng Rm
"Maude, Francis",6/28/05,All Party Corporate Governance Group,Dinn,35,Dng Rm A
"Dunne, Philip",6/10/09,All Party Corporate Governance Group Breakfast,Bfast,70,Church. Dng Rm
