"Words","Count","global_stdev_ppb","range","global_freq_ppb"
"sleeping",3,13340347,0.0187772365519617,104010.18
"sleeps",1,1352916.9,0.00267152498870641,12110.004
"slow",1,2931564.3,0.0198785735530081,120614.98
"slumbers",1,125070.95,5.73556418361458e-05,236.74854
"smiles",1,1413621.8,0.00387172130576967,33249.523
"smoothed",1,65545.33,3.96673942395036e-05,152.79086
"softly",1,588157.85,0.000819824043533775,4376.823
"solemn",1,133685.14,0.000126216139630277,515.7112
"son",14,5127958,0.0245183845256015,213423.1
"song",10,7484800,0.0634654885894033,778144.1
"songs",1,4216069,0.0258105634776774,189574.2
"sons",1,1293935.2,0.00302077419098799,15456.144
"sorrow",1,1276509.6,0.00209135421504663,9822.645
"sorrowing",1,138526.08,3.57887213025281e-06,17.813276
"soul",4,2477314,0.0138576177389439,89449.2
"souls",1,695714.67,0.00215438733466009,10666.792
"sounding",3,503538.76,0.00247719785329881,10522.941
"sounds",1,3642878,0.0352105179716624,290653.6
"spake",1,101187.96,2.8799614995804e-05,129.33112
"spear",1,294079.42,0.00029558485787821,1386.2762
"spreads",1,360668.03,0.000978812158848933,5713.155
"springing",1,234629.62,0.000135491227088262,522.7021
"stable",2,588189.64,0.00195674365282812,9534.069
"stall",1,383574.84,0.00108269313837836,5149.718
"stand",1,2881981.7,0.0219744809928069,135432.6
"standing",1,1916359,0.00958882900222038,46330.32
"stands",1,799049.3,0.00451977822460173,22366.688
"star",28,3985381.7,0.0293504989781571,259998.89
"stars",7,2914464.8,0.0146442575806836,136424.1
"stay",3,5372537.8,0.0432654910964875,317907.1
"steps",1,1594787.5,0.0078800393541024,51875.086
"stillness",1,243963.7,0.000237460976474837,1114.3044
"stone",1,1692427.1,0.00764478940857714,44681.21
"stood",1,682973.94,0.00299589072403,12787.177
"stop",1,7243276.6,0.0592985009641126,525614.4
"storm",1,2573589.3,0.0122381874687797,77431.9
"story",2,3696418.4,0.0340744790272378,281533.34
"straightway",1,15091.578,2.24850605042061e-06,9.007468
"strains",5,157293.9,0.000305365859197539,1334.517
"stranger",2,1356863.9,0.00391980186014783,19044.074
"stream",1,2490743.8,0.00749693139821156,63362.7
"streets",1,1214545.5,0.00691215118714842,36874.293
"strength",1,1186089.8,0.00608732421765246,32909.125
"strife",2,194845.91,0.000206319167676511,871.8423
"strong",1,2415165.5,0.0167398090070243,101429.47
"sublime",2,847800.9,0.000858236021895127,3985.267
"suddenly",1,1055943.5,0.00634880673376596,31158.713
"suffered",1,371687.52,0.00125459142593302,6112.307
"sung",1,511828,0.00149452575906332,6538.3467
"swaddling",1,66630.906,2.52769555168117e-05,112.055595
"swathing",1,5690.461,7.86977117647214e-07,2.9576762
"sweet",6,6885560,0.0379513156842722,289711.56
"sweetly",2,264829.78,0.000214826015567269,961.4464
"swiftly",2,197942.14,0.000246211412521057,1000.1651
"tail",2,948564.8,0.00310807243839557,14938.079
"taught",1,815234.9,0.00472607865472782,22186.268
"tears",1,1731938.3,0.00888056833388831,47150.13
"tell",13,5256230.5,0.0597774514904026,594395.44
"tempest",1,292941.23,0.000189961286159701,898.05804
"temple",1,969650.2,0.00268199927939129,15668.559
"tender",2,641987.6,0.00149797346834063,9009.082
"thee",8,1953679,0.00467996554314378,35842.934
"thorns",1,234093.39,0.000263075207899212,1276.3717
"thousand",1,1149327.6,0.00525946176498843,28980.252
"thrill",1,572312.33,0.00118396959839939,5332.2197
